SMILES,SPS,MinEStateIndex,ExactMolWt,BalabanJ,VSA_EState6
Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1Cl,10.583333333333334,-0.6462218991259394,341.056718924,2.047026309140364,11.65315011512016
Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(C#N)cc1,10.24,-0.6545659227603673,332.090940244,1.988495947945752,13.194316765679398
Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(O)c1ccc(Cl)cc1,12.16,-0.8133536207692955,357.088019052,2.072625090369594,10.481952076983806
Cc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1,10.478260869565217,-0.6295267489711931,307.095691276,1.9257644721581224,13.7695453344514
Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1,10.583333333333334,-0.64011316872428,341.056718924,2.0074536470863955,11.51602048212364
Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1,10.478260869565217,-0.6258926810189436,307.095691276,2.03021042958436,13.924410437022615
Cc1cc(Br)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,10.68,-0.688521090534979,418.967230992,2.0358524464359324,9.876988598149849
O=C(c1ccc(Cl)cc1Cl)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,10.68,-0.7190843621399174,394.963124156,2.0358524464359324,8.838808409150381
CS(=O)(=O)c1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,11.333333333333334,-3.36338005619591,405.018619164,1.96876970817214,9.726125615483566
c1cc2cc(c1)-c1cccc(c1)C[n+]1ccc(c3ccccc31)NCCCCCCCCCCNc1cc[n+](c3ccccc13)C2,15.91304347826087,0.8299101239122675,606.3711503121801,1.1898696790165209,40.18286381508773
CSc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,10.64,-0.6849096293861245,373.028789924,1.971329626718468,11.744338707047351
O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,10.583333333333334,-0.6987551440329216,361.002096508,2.007453647086395,10.861611940929382
O=C1O/C(=C/Br)CCC1c1cccc2ccccc12,21.63157894736842,-0.1645370370370373,316.009891756,2.032677792884751,14.23619954646357
O=C1O/C(=C/I)CCC1c1cccc2ccccc12,21.63157894736842,-0.1470370370370373,363.996027656,2.032677792884751,14.285705463589377
C#C/C=C1\CCC(c2cccc3ccccc23)C(=O)O1,20.65,-0.2137934618291759,262.099379688,1.9889822265469648,14.127677727899137
O=C1O/C(=C\I)CCC1c1cccc2ccccc12,21.63157894736842,-0.1470370370370373,363.996027656,2.032677792884751,14.285705463589377
O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,10.363636363636363,-0.6299667550930172,293.080041212,1.9472506109875107,15.346192844430025
O=c1cnn(-c2ccc(C(O)c3ccc(Cl)cc3)c(Cl)c2)c(=O)[nH]1,12.125,-0.94066843558411,363.017746572,1.9902903900993056,11.403556385373829
O=C(c1ccccc1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,10.478260869565217,-0.6963587595532037,327.04106886,2.11417762435256,13.162268116634928
Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(O)c1ccccc1,12.08695652173913,-0.7448968306458392,309.11134134,2.01162301295444,14.507465992578172
COc1cc2nc(N3CCN(C(=O)C4CC4c4ccccc4)CC3)nc(N)c2cc1OC,20.3125,0.1101468279975879,433.211389724,1.2731583182059774,13.915428621530657
COc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1,10.375,-0.641915802225631,323.090605896,1.8916643100231667,13.16479996408103
COc1cc2nc(N3CCN(S(=O)(=O)c4cccs4)CC3)nc(N)c2cc1OC,15.586206896551724,-3.454611049340938,435.1034961520001,1.5825849338870466,6.8710012422216185
c1ccc2c(c1)c1cc[n+]2Cc2ccc(cc2)-c2ccc(cc2)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCN1,15.91304347826087,0.8467268137069862,606.37115031218,1.1289399433449785,40.19306121286584
Nc1cc[n+](Cc2cccc(-c3cccc(C[n+]4ccc(N)c5ccccc54)c3)c2)c2ccccc12,11.22222222222222,0.7793677176006306,468.23029973618,1.3060089675180682,38.09601478876013
Nc1cc[n+](Cc2ccc(CCc3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,11.263157894736842,0.8173436744510514,496.26159986418,1.087530367462399,38.56234282421572
Nc1cc[n+](Cc2ccc(/C=C\c3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,11.473684210526317,0.7991615480308443,494.24594980018,1.1330941478315262,37.91369141109461
c1ccc(C[n+]2ccc(NCCCCCCCCCCNc3cc[n+](Cc4ccccc4)c4ccccc34)c3ccccc32)cc1,11.217391304347826,0.8868349141701585,608.38680037618,0.8584758051595835,43.33671614877763
C1=C\c2ccc(cc2)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCNc2cc[n+](c3ccccc23)Cc2ccc/1cc2,16.583333333333332,0.846018526116196,632.38680037618,1.0910369164176066,39.94378905625693
c1ccc2c(c1)c1cc[n+]2Cc2ccc(cc2)CCc2ccc(cc2)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCN1,16.25,0.870111496637738,634.40245044018,1.064074457889707,40.59244046937803
